mint,symbol,tier,alert_ts,res,n_bars,label,outcome,t_to_tp_s
B6fsJX369yN6ME8rVXrvM4S4pL1Kj2qZnMkfAAVfpump,WAWA,B,1786354980.7531564,1m,464,1,tp,4559.2
BNn7fUsvq55y4UtvW8jJX4h8CbYcTURXYMopaxm7pump,TOADGF,B,1786348740.236235,15m,79,0,sl,
Hr66MMmcwwt6YNPUAVuSyjhrhFSnjCNxuPuAJ1Ubpump,Haymaker,B,1786341797.446872,15m,230,0,sl,
BwB3vRE3h6jW3ud55jUHswA65KFzjMsgrTw5yCfLpump,hip,B,1786313611.0531578,15m,87,0,sl,
FvDKebt6RTUVGdGeaM83avXeyM3aDxF6FANmDpJLpump,REMUTOAD,B,1786308929.0353906,15m,11,0,sl,
DuCZ8Wgdp5NYrZHRwFz7fdvePFmvaHTQvExCv4srpump,DHEART,B,1786302351.583141,15m,63,0,sl,
CWCKjhyt3x8EjxRdaDssoaBLdRB8BFtiA9VSrpgYpump,Baby,B,1786299422.2487192,15m,109,0,sl,
FFpSAomQLKwJjAyx4hmYAmnKYZZy5q4YBcUJhtVgpump,TOADCAT,B,1786294741.093513,15m,101,0,sl,
9A5QWVQuNSHWQsxi1w1dAZ8yAr9RbMsdpkGXMNt3pump,KING,B,1786292124.023538,15m,285,0,neither,
5rSKQ986XFdqZBwyuQQE3j2YCK3wwuJQHzGGTBLLpump,ROOKNOWS,B,1786290023.06825,15m,98,1,tp,4776.9
6FKjiXaMaqSvWYN4gEgkqwzpzYD1BD5NiLHx3xcZpump,TRUMP,B,1786284612.6119409,15m,33,0,sl,
DmSevLDx27zpabUjAYTdmo6rxy8BrfeMn5uENDja8Lpr,ming,B,1786273012.952193,1h,49,0,sl,
9S3HuR5VKJXEUKHrDpqxNWhkw9WL4iqoXyGN3JpGpump,GO,B,1786269056.2924514,15m,19,0,sl,
BX961hMXPh7wzDxTJmGrgKbKXNns9bsLJdjr5wobpump,PUMPBULL,B,1786252514.6764705,15m,318,0,neither,
GhkTyfsXQLf5hgu6BvVRFEbpqgRmXUSQNCa89SDSpump,BLACKTOAD,B,1786225829.57289,15m,154,0,sl,
CyDgGBPawS1CquTTVvt3gf3EPdDYmaLKd7NepW9LzNrD,opium,B,1786223899.533836,15m,202,0,sl,
DfmUxZaGKH46tY2YgL5YLbQXg5FKup6Ftf666Ea5pump,Pomeranian,B,1786217899.2931125,1h,85,1,tp,1300.7
BjMRQ5vksXw8eAsXPe7VuLv9FMA5XmP6QQ9znco1pump,GIGACAT,B,1786212926.0161088,15m,222,1,tp,874.0
HfgV3Y9WUMuK7kyQmw3sCYByUBdWDkJPXsoKhJg7pump,SOOK,B,1786205699.721855,15m,123,1,tp,900.3
BVxz4g44d7z2CV5ZERPsvxY3QznPmof1Ddpascjipump,BABYTOAD,B,1786204202.8276715,15m,366,1,tp,597.2
EjD5Y9NVhXmtEqU7wYvAyZvDWZFQeEuHXFatJmTbpump,lickingcat,B,1786200096.528227,15m,390,0,sl,
BitihMR91FwBjFArYh2ususajJMa4Wo5EMp2JN7Fpump,BUBBLES,B,1786197241.581297,15m,79,0,neither,
46amR3aeQE7MJ9QDrgNRqBP3FcsJ9QNYV71L2vVSpump,claudius,B,1786179271.4342124,15m,413,1,tp,328.6
AENK1YJ9978xp19xQLKat6eNmndf7Jg2FxFfKiwvpump,LOUIE,B,1786172844.5468764,15m,420,0,sl,
gAshQBpVGDRAtL9y6C5fJvVkA5cMWVR6c58w4XWpump,RAMEN,B,1786156306.9931798,15m,220,1,tp,38593.0
7LRo1JRKLaGxYKGJWTyUmA5LduJFown9Xmpo1prJpump,PATE,B,1786143637.9927576,1h,106,0,neither,
4LSbFBqfTK3QFi1wqw5rVkvt1SRgyZeRTZD3zzNdpvRT,WAGMI,B,1786139489.989314,1m,322,0,sl,
2YxBvZ4BwYtoLdzf7pDAAQ6kExX94q5nz8RrLaPHpump,GILF,B,1786123684.621609,15m,167,0,sl,
DUxbHHy34XSoo6cjeeiiTMUu12UyoNWbvvMUWcvjpump,Nosferatu,B,1786120085.6799223,15m,282,0,sl,
DdSfpVAAi3kcZLMVBS4whtttTu2wPFYfwEwmKLe1pump,TINYCATE,B,1786120085.6799223,15m,26,0,sl,
DkSJKm11B4PKLZWGx7EuXAxacGEjpMeUkk68oRxepump,DTR,B,1786113270.5863686,15m,53,0,sl,
BiTt2dobZm7YpNPGJjBqJcCUpUwFxYAFHfMBBazopump,NOOT,B,1786109030.0000088,15m,217,0,sl,
FLq6s9GwF1TQ8xZLz7EmDJnDMKPoMUXaEayHbtZUpump,Sherman,B,1786104052.7454412,15m,472,0,sl,
UCoFuzqbvJ52NjmS4Ra6QEYd5jpVYDDQvxxHo5UJJgR,UCOF,B,1786101074.2523072,15m,36,0,neither,
BD5wSmuNysbBWTDrnNxfUqtzTvrYfJwgRS8MHroEpump,DUCKTATOR,A,1786084558.418968,15m,218,1,tp,34741.6
76yPcGUMzHeMvWw1SBcmx4H2ve4SyKCCAE158ZD8pump,AQUA,B,1786079312.483242,15m,107,0,sl,
3c32HTEvDVQC71irgNwQ6HX69Kw387V1aWBn76ugpump,goon,B,1786061936.842252,15m,513,0,sl,
7sGdNQSvUGpahh6qyXB3g5gsdK9FAzZM299KyCXspump,https,B,1786027158.1253083,15m,490,0,neither,
AvnRcJVB2t5cvYZMWk67xiPyGqxfgJeTDPViknLkpump,MOOT,B,1786018333.1279159,15m,42,0,sl,
5ohBqLgmccJstRhrFskitBYa7DtwQ13HZmFzH8Wepump,BOAR,B,1785964871.8873696,15m,420,1,tp,20328.1
HZtTK1uokNiXxjLi6wj38ATaik1L13Gc8jx42T2Bpump,Youtube,B,1785959948.5021126,15m,265,0,sl,
74q9g2GxfG2JgNBz2mdLFFETYPDXBsVYr2F3RHZbpump,FISHHORSE,B,1785953267.6341176,15m,617,0,neither,
336wdKkmBGH8SSjmEvW7NdGWWn33Jm8FqiYBcxuEpump,PATTERN,B,1785953267.6341176,15m,264,0,sl,
7pQYyWKPtxMCzdWDPZKJ7xTnCzFB25SPxp8cM4xJpump,WIZCAT,B,1785946988.9654593,15m,378,1,tp,25611.0
H9CvE3o83EYooNhZuf1g3XTuro94bnnBauUP5hQopump,4chan,B,1785946988.9654593,15m,91,0,sl,
FcaEwSgoFtu2EAry7cKAfncBY42xgiuaSJYHwRcvpump,BULLMOJI,B,1785931644.4529283,15m,498,0,sl,
ZUXSHwzZrE1f9wy8rPyyZpiVbLNeyDRNiobvyfFpump,2x6CAT,B,1785914359.158583,15m,486,1,tp,1540.8
3e53B7z3kkWcp9NrpJsRC5e5U6sNwxbHXmAXBH5tpump,CATIX,A,1785904300.1999161,15m,374,1,tp,18799.8
CdB1d5hhSs4SfnLKaZA3db6g2d1mR9AgwL8wcF1Tpump,KATE,B,1785904300.1999161,15m,505,0,neither,
zh1t3y7gr9dxoW46qo7grVTaHaLrvGDvQMRu1FYpump,CORNCAT,B,1785883155.0933354,15m,369,1,tp,3944.9
25g5Ay42aip4BZN8KWWA79jiY2VYykuMg4qdBDsapump,100x,B,1785873776.9031892,1h,162,0,sl,
AZq7qpBH9ybTe45ydz9bQmmaTBU46r5pRPsibNJipump,KIDNEY,B,1785861777.181217,1h,125,0,sl,
D3MmqB1YgTJZAta8mbWNqw2b4mjDT5KEZ71Q6kcTpump,Cameuh,B,1785837843.6774518,15m,477,1,tp,2456.3
2WnQohaMh6Dnn8u2afduvfhyWZk5PJVikCeMC5X9pump,OltSeson,B,1785818010.2921526,15m,42,0,sl,
6fEaYuzirTMXFnFo7dGKHJs8wWVFPdh1bfZL9oRPpump,JLY,B,1785818010.2921526,15m,815,0,sl,
Gymbmn9wwMKe4NnmVceyyfpncp9arbwPfSdBsyY9pump,Doom,B,1785796593.182604,15m,839,0,sl,
8DoRKBVBzDKqKvXyzjyhKDkmxE2oQxe8Bvsst2zZpump,SOLDCAT,B,1785788148.9043844,1h,42,0,neither,
HtK6PtfghpsomyUk5mJA91DGpLAkJkGuMy65XK6gpump,FRED,B,1785781751.9490104,15m,29,0,sl,
CLoRXWYHKQm6i2vShBrTgT29J4RRBBgVthvnbK6Dpump,BABYCATE,B,1785781751.9490104,15m,596,1,tp,48.1
6dX5M8DY6VTFtVRX5yzWn9RE4MkJTyoAVbAodk6cpump,GEOM,B,1785781751.9490104,15m,856,0,neither,
9NCBFpUvWTuAtHbUo4q1ruvrUsuzUtwhRoU7HwrTpump,GINGY,B,1785775059.2619245,15m,724,0,neither,
2tJNy9Ep8bCXWMGSZkFt2r91rKLXbC5vAnTmYi8bpump,ELONCOIN,B,1785757757.9346554,15m,85,0,sl,
HR99L4BnTEKpr4ii9qm58NAtEmP1Y9cGgX2XUUebpump,LetsPlay,B,1785745066.4006104,15m,469,1,tp,2533.6
6kiHB9qU4Yefjf7eovytrBeyebd5ct5hqbFqeqrkpump,trenchcat,B,1785732718.7291963,15m,59,0,sl,
EqsLn2XNdSghRJTgZkaK66VPLVqdNiBGvXFAKXzq5Evt,DOGE,B,1785710471.3192177,15m,233,0,sl,
DWDL2S4kzf7B3zZ4FeiUo947Ca3QjDFYEH2v2YkXpump,FROGE,B,1785703107.5243244,15m,404,0,neither,
AbzABfZfMGTdiRur3kYC2j5WihusfDzW9FYno1t5pump,ANSEMINU,B,1785700124.6885679,15m,67,0,ambiguous_bar,
HSGCVT2FWQUtxX5g68WzTPbnmzWPuV8khFe5Hhmspump,Meowt,B,1785687395.4450152,15m,437,0,sl,
8hUxdG4ipEzCHUhk1w6Y6djp51ghKn9Bk8GsHxwTpump,windoge,B,1785679340.0628517,15m,401,0,sl,
7MYegHoqDGhWdvrnxeuiAEndgG6qcs1N3W5v6SXspump,Buddy,B,1785672693.0452864,1h,244,0,sl,
GqZ3Baz9Z5zmreGJ4GtYzFrCoEnKX6WifyzrCBZJpump,ZAPPY,B,1785668705.741086,15m,32,0,sl,
BhquHHbrU1wqsnet3x7gdz18Vih7C4EKNqtE1piMpump,Carter,B,1785663353.625946,15m,133,0,sl,
3H5zJjdodECf1ZsB48478GkSjTvcKVWzpsh6NxHupump,CACTUS,B,1785663353.625946,15m,540,0,sl,
8TLxeYnnWpMFiC9npbh7XzyHpLtTYmw6DCuHBJjppump,JORDAN,B,1785645807.3983417,15m,923,1,tp,13592.6
5FUTTMiN9KqZkPsk4q9Kpp6kmweRKTrJrdhhv5DKpump,CUH,B,1785627149.8939555,15m,948,0,neither,
EUgmSRwrsVD2tgsrVHWEH2JMv9C3TqqGsH7inixvpump,PWP,B,1785613686.9928396,15m,43,0,neither,
TTFZRVWRs3c9Tqa6MUvQbCr4iEfGdn5XLQ3bkLMiVHH,TTF,B,1785609207.5864642,15m,203,0,neither,
EbTTe3bJTRbAaTyd2weiW9yD3MEYGLMUpjdsZdF3pump,SPIDER,B,1785605174.9944332,15m,23,0,sl,
7m2TUkpPZCScBhPJnGjWjbh75KkDNnwAdd7i74m8awad,Ww3,B,1785597055.66506,15m,635,0,neither,
HhMq9vuWEntyUXFLv25xG2o3d2m8gJ1jdxtjG2J6pump,禅宗,B,1785576392.7483478,15m,390,1,tp,207.3
f5TmRASorjbq4x4MrKfxKTDPSBf6LmDrZnMEgadpump,ESCAPE,B,1785559347.8050914,15m,50,0,sl,
GuyxLMxGjhAQf8wtNVPAMnFxDm7JnXiLQUTgojgPpump,TOM,B,1785537446.5508342,15m,537,1,tp,453.4
CFavJDAfxjAc5s7DxLQ3rQyPebU8rJtHBbVSmp5Ypump,Ibeefa,B,1785528710.493921,15m,176,0,sl,
USoNnf9CY285mwhx12XSmmGuMu16w84v484F71JAMHF,USON,B,1785528710.493921,15m,551,0,neither,
6zW8P7fgtZNTCad1PDc35vkRbo1xbZfQPTMMLFeopump,friend,B,1785523204.1762574,15m,340,0,sl,
CcYp2Y8KNVWYqdTT32mu5LdVeJkBR5cyUAvEnFC3pump,MIGRANT,B,1785523204.1762574,15m,334,0,sl,
EAQRe1zCu8TaBSZkWkjY4SCAmdGAm9uLvLmrWEnQpump,TALKCAT,B,1785510261.0710642,1h,15,0,sl,
AGbfomctz1Pe9fzNuppVZ6jQrjZecRujyx6qt7egpump,urcoin,B,1785500583.7406,15m,606,0,sl,
EPRrmBQojQLNxKjULjkB2fHv34kAfgVK8JLQ7gRCpump,SHORTCAT,B,1785493273.7854612,15m,522,1,tp,5926.2
7cok2xaMZTzbae7ETiFC3n9GeFT1kCPeNnwLxsRRpump,HALO,B,1785493273.7854612,15m,608,0,sl,
2snh8r1t9WRaVBTQt11ionr3kfvpdBNRABvd4cd9pump,SWOLECAT,B,1785483533.8316877,15m,11,0,sl,
BsZKqtJdNoQsQCdKg9zNVaFjjPadDgtiYoo7buwnpump,ECM,B,1785473214.997824,15m,18,0,sl,
Eu3wxLxv1NHF432e3bYCdurGHUgJGCC3KH7YdiJCpump,VOID,B,1785473214.997824,15m,567,1,tp,24185.0
9Uh4Mfn57L6JSg4H3ZzmZsi6wbz6ugeaNZmA1Duepump,PIKACHU,B,1785460190.5158257,15m,148,0,sl,
WUbc4PcHxraU3NJqyygjM2YaTpSDaXirV3U8TtZpump,Nascat,B,1785450679.3527894,15m,846,1,tp,820.6
Fzf9vJs3385BnKvp9PgHX2iWZf9CzSoWLTnZBYf2pump,bull call,B,1785442025.0528677,15m,35,1,tp,1374.9
HpkuvFhxD3xAnBwbC2EZQvr8VDCoRRZ3AWnupLVhpump,Raccoon,B,1785442025.0528677,15m,49,0,sl,
GZEs9V467mznpgddszzDU13P6NTFwws9Em1u6TV9pump,PEANUT,B,1785442025.0528677,15m,552,0,sl,
6M48b3EVgTL2HmqkvLvMvfPGesN6YHdSc61cVixNpump,haly,B,1785436897.1655116,1h,25,0,sl,
FAijGiVUkZQgK1gEyMyGXxqQo9QJwd5CRJxRBBkfpump,PUPPSIDE,B,1785431155.0496213,1h,251,0,sl,
AnimeXV38KBcwkdf8sQ3XES9pW6BiyCQPLUHvCrpTXgi,ANIME,B,1785425169.5877185,15m,779,0,neither,
8dv2dVsBKrh4zpureLv7rn9DHycFf6GxRxdr3EG3pump,RC,B,1785410719.2533278,15m,295,0,sl,
Gc6tTHepUyKTKQN7oLTsMTeRPwz4D3FTTGwXyWMNpump,BELKA,B,1785403222.5954523,15m,111,1,tp,4177.4
6xspxZawBsq5yaL9gcfg9jSD9CRY9z7A8DySyMpjpump,LITTLE,B,1785393917.6433818,15m,404,0,sl,
7iZirmEZhqK4cR7Psgcq2oBbAHRVvgsNLKCSJj38pump,DOGE,B,1785384961.5869787,15m,535,1,tp,2638.4
EJqsDjKYHXEBUX2yqkUr32kvrGEdrQkjC2RKbCAmpump,PEPFRAUDCI,B,1785373519.895378,15m,361,0,sl,
BkCVuyxNjWk2eyCVEEoWWYikdfGPeFxwBbmDmzGJpump,DEATH,B,1785361286.1797812,15m,38,0,sl,
4fKj7fLTwzgJARUN8zmHa3o2fmVwJFTo6PYyHDwXpump,PIPEELON,B,1785357549.0857134,15m,6,0,sl,
9yzaY15JLqQBScy4E3VyV6cfZzEWCRTAPsUUjLeLpump,GACHAI,B,1785357549.0857134,15m,142,0,neither,
MJuM4zEQqkbym3VoF5jTLmeUdsvhD447zRnucjzpump,PIPEINU,B,1785336914.1914446,15m,21,1,tp,4785.8
6UozZHF36zk5GAgamH9zWajvPkGh3eRumc5QKN9Dpump,buly,B,1785336914.1914446,1h,190,1,tp,285.8
2j3z9Kr4PQuTZowLdWD2UCBFuArNgV3aRtsYkFDFpump,SMUGPUG,B,1785336914.1914446,15m,705,0,sl,
3jX8p8QumtfccakGib95yi4pPDNgQnDJEMmwjk1Upump,SCARLETT,B,1785327882.0627294,15m,170,0,sl,
2kXrA6YuuBPcP8TeBrNFULv7RJwpmPHR3z6K3ebepump,Jimothea,B,1785327882.0627294,15m,822,1,tp,317.9
HpD1TUPDXsZV3BJemr6QsanCyzzBegX97WvoCzt1pump,HUMPCAT,B,1785320021.1369236,15m,378,0,sl,
4j7ofgW1T8T95e2KKMR8AKiuGkUTZaggJnbj46gzpump,PIPEDOG,B,1785299746.2644205,15m,577,0,sl,
AfpoytNV4W18dpmPs5FghWJLJx9diH3qX2tuNH7Fpump,SPARKY,B,1785299746.2644205,15m,62,0,sl,
3G2At3nh674eLVjfRXnJw3HGsgQQAWMXCsPvt9tBpump,JUAN,B,1785287554.64681,15m,209,0,sl,
3U5ZB99H9xsfGKmho5xUtmos8AuQr9wz4mXFbT4fpump,LARP,B,1785278375.7255301,15m,99,0,sl,
3XstzAweu14Djh8K8udr7iZmd6DCwGiaSAdKL5NGpump,Frank,B,1785270120.0118945,15m,440,0,sl,
ksxv4TqwfNdEUA2gqbpYSvKTJNetkto6ZuYgjhxpump,NYANCATE,B,1785270120.0118945,15m,43,0,ambiguous_bar,
8mwa57WGi1L656Y34BQsAzKt76qxXwfV9FEwFCuvpump,金毛蛋黄,B,1785265150.2895539,15m,14,0,sl,
5QZDZtXwSHGfreiVwkLvhyLm9MN8APjEvEGzyArhpump,Deaton,B,1785265150.2895539,15m,929,0,sl,
2vBS6D5mTPbQHChbZevmJ3Ck4uyrmdhbt1LkbyLopump,MEMENOTE,B,1785265150.2895539,1h,339,0,neither,
4tzmsD8EpQVPqHDdzSXWNHJnBLL3fNUFbLv3nufjpump,MIDTERMS,B,1785260922.0311038,15m,590,0,neither,
3aqXuwp6HuVXs9vdD9Gpg4dzJaUx443RjK7GXzphpump,FRANK,B,1785249032.5728674,1h,362,0,sl,
3LdQLw8ZBMcjjRL628MntdgS8KcsEunJWiRncXH6pump,BULLCULT,B,1785249032.5728674,15m,709,0,sl,
HknhbJQAE3MgswkkU6xAhXLXZS5km17nHibdbk1Epump,Nugget,B,1785240321.3540516,15m,45,1,tp,7778.6
5csfa95Xf8ebiCwP9joQ7mtC8KwFvnnejnYx5FbYpump,XMONEY,B,1785240321.3540516,15m,511,0,neither,
EKH3tGXvf5cWoXLdnCYrmdLBPhrykwVxNuMPJg5Lpump,NUTBUCKS,B,1785232808.1565654,15m,301,0,sl,
DDWjoEafc3AYGXRHtCjqNKXEDmrsmSnF2n54qpqRpump,ROBINJACK,B,1785223187.4003623,15m,49,0,sl,
5Lxdugp5gpE7dau8YRRyKn5KeLaiFUGF9EMmHT1ypump,DUCKY,B,1785200956.394122,15m,23,0,sl,
BezdJrtJxz83mewWwcKBjFctGC26ECNaGXo6vMDPpump,Clarity,B,1785195565.785347,15m,539,0,neither,
ETguf5mcGLRgcCdKtfCXNVXaCpznFN3TqbUT6aEp5iys,ETG,B,1785191450.6842515,15m,163,0,sl,
3KeUGy1hARt1rCCydFt11r6FuWAYUxnQZJ2JkwKbpump,ECAT,B,1785175749.9987156,15m,621,0,sl,
BcNhFkxKPTxmYzK4G98VafhaHWBSy9deTujuTok6pump,RETCATE,B,1785175749.9987156,15m,54,0,sl,
gF6kXDUPivpk7VkqSBKfamxdyKzQPfjj4vXW2U8pump,JIPITI,B,1786541785.5847156,1m,110,1,tp,3934.4
7mPKEd18jVUKi221Nw34CN6rBuDeKnzXeDJo5Yg6pump,BIP,B,1786533140.8102272,1m,283,0,sl,
hVha9sExfqchfVA8jsrdwDN4Wczep2o48adCnY6pump,TINKERBULL,B,1786529780.8319373,1m,392,1,tp,3819.2
6SyrTPpPTUphxKneTaZFnJPu1h8ArWvoie4xHumNpump,FROG,B,1786520743.6997414,1m,541,0,sl,
5rRdD6BFADz1iPcm7dzMaeTV4tpu3PHoucGUAD8Spump,TOADPUNK,B,1786520743.6997414,1m,561,1,tp,856.3
AvecKFxn8ihToR7gwgAVjfqV56N1rWhN7hv8joXQpump,COGE,B,1786514511.3698885,1m,665,1,tp,8228.6
EGkqSQDT7MYJNhf17vR2JZn5pc4sbUDeN2gFCP6Ppump,Peach64,B,1786514511.3698885,1m,657,0,sl,
7xwJQh4jX5pgkLrKCcij4UXcdyXWxDwzeVr65NmKpump,CALLOUT,B,1786502239.9382107,1m,414,0,sl,
63zfjPfH4uaX3TQZoD35WqUrqiuCQQWndMTxQHsJpump,Prometheus,B,1786502239.9382107,1m,698,0,neither,
HukaK2eHhbTyiuUwuKMntjPJP4aGdD4VwiExsNmyT8WJ,BOT,B,1786468570.7675512,15m,95,0,sl,
vVzBpN7bboV6HMfP3Q5kFKtZJp1YKn5XG3YGfNKpump,KUNGFU,B,1786464800.197141,1m,43,0,sl,
DNFUP9tDaaHSLGkRfypf4t1u1uNYnFiPKUWFivBWpump,Bowser64,B,1786502239.9382107,1m,851,1,tp,100.1
tSEakxwRz3Y3BpjDttokygCgScgLnui19NJGrR4pump,Lucifer,B,1786461032.9674122,15m,104,1,tp,4767.0
2pkwbAevwwVu5FZ4KHqVVKVMRPUs223C4tJ1Vddspump,Mayonesa,B,1786451151.4280453,15m,115,0,sl,
C6ASDsxzqBvF5bCQFVAGMRWwfgZNhfozbb9DkgiKpump,ORANGE,B,1786437542.5462582,15m,130,0,neither,
5GgkUst9YjkEfqJQ7TTqWvPtoswUdbboYTy189Yhpump,TOTO,A,1786434091.975722,1m,535,0,sl,
9ucedEu8Ruy58KtwCnjv5mhiKXmzC9x91AJNUF66pump,KEDAENG,B,1786434091.975722,1m,85,0,sl,
EFeVBVBX5ge6Es5Ymj1NL4ErQjHyKpJ6tLDnKkHGpump,TFD,B,1786420656.2487879,1m,527,0,sl,
Bmmw12BteZLFcUUrc3xVjJ6DKbyzXpC7wE9jxPLzpump,$Bdoge,B,1786398745.3985655,1m,613,0,sl,
8Y5WvnNevzBgiPpqgvAuVK2GAGDNYD7iPaUi8z9Rpump,Oscar,B,1786395424.3283577,15m,177,1,tp,1975.7
7fj9MCUho1ehT3oxsBRCTsc2Ke5Bh7vUDqgxo4pWpump,PIXIE,B,1786389147.791511,1m,62,0,sl,
7Syw6tu4Jx692uhoryjok5yBwTqje1oftit9E3LHpump,PARKIFY,B,1786378338.0824606,15m,196,0,sl,
FCjd5R4usXebjKT1RXo79GjSmWMuDvL7yJdDaJWYpump,BINGUS,B,1786378338.0824606,1m,237,0,sl,
ux6z73m5MpvVqdmV9U2sbVFp7zw4UXa6rFdgrExpump,JIPITI,B,1786365303.5051384,1m,32,0,sl,
CUUxAtrdUsk1cX1cSdWuic4ww1894FVEFMFJb3Unpump,ASTEROIDS,B,1786361871.7691379,1m,430,0,sl,
HpZSFUgEbzXe9AP2xdCik3pYBTifTr5tPTMrq65bpump,TOADY,B,1786354980.7531564,15m,128,0,sl,
9sa9nwDeoFMYShhGgVxBJTHTXHF6jbQnxRXF1Pqrpump,TOADZ,A,1786348740.236235,1m,857,1,tp,11879.8
HUG316gPR11AwHirwqefXFNnTEjwoUER5cE1SQgk54US,TOADWIF,B,1786348740.236235,1m,230,0,sl,
2uXzdgiVtuD3TFutqxu2mCKYBytuARkHhJMy7iWkpump,FOXVSHEEP,B,1786341797.446872,1h,53,0,sl,
3zbV8nS9Wx2WxJ16uXYjTZZvoHbTnrvTQYyZE5xEEd5D,BOT,B,1786311729.975428,15m,264,0,sl,
CE1KorYR3fP9kYoDDQKXHHD1rM1xsbELpFn22k8qpump,McWedding,B,1786304701.410032,15m,188,0,sl,
3SJZcESxBMGvfRHu2DX6LeewMeFX586hc3hM1ZMQUANT,WINTERNITZ,B,1786299422.2487192,1m,392,1,tp,1257.8
EtxCL9DfuQ1ZJcydWY3Mqd5B1XjhZhRKTUdAxpjSpump,RURU,B,1786292124.023538,15m,265,0,sl,
zajhNffGDCgWG7pT1wRKPvHcCgD3jtf8QZY1XX9pump,CASHCAT,B,1786292124.023538,1m,532,1,tp,1956.0
8iRbif9ppN5KHV44CUh4g77hGZXo8APDmasgC5c3pump,TOADLER,B,1786290023.06825,1m,60,0,sl,
DKxHTQCvDKUke1WpsHgbfueuRiTMqdzXrWeFHPvzpump,奶蛙,B,1786284612.6119409,15m,300,0,neither,
